CNS_INTERNAL,CNS_EXTERNAL,UML_INTERNAL,UML_EXTERNAL,MC_INTERNAL,MC_EXTERNAL,STM_INTERNAL,STM_EXTERNAL,HBD_INTERNAL,HBD_EXTERNAL,ATTENDANCE,PASS/FAIL
7,6,9,45,10,38,12,42,6,18,23,FAIL
9,17,12,53,10,41,9,33,10,38,36,FAIL
9,0,8,0,5,0,4,0,7,0,34,FAIL
8,11,12,24,9,29,6,28,9,27,27,FAIL
10,15,3,35,6,24,9,25,13,27,29,FAIL
12,9,10,36,9,7,11,17,10,34,23,FAIL
9,24,10,38,8,14,10,31,9,15,30,FAIL
6,3,12,24,10,27,9,12,11,32,36,FAIL
10,17,11,44,12,37,9,40,11,40,24,FAIL
12,43,11,40,14,41,11,42,10,54,32,FAIL
10,26,11,35,11,26,12,24,9,18,19,FAIL
9,4,3,0,13,31,15,33,11,15,24,FAIL
11,11,12,19,9,24,12,26,10,28,29,FAIL
10,15,12,29,14,13,12,28,9,25,26,FAIL
5,0,8,0,12,10,9,12,11,36,18,FAIL
0,0,0,0,0,0,0,0,0,0,29,FAIL
10,0,22,0,12,10,0,17,0,0,0,FAIL
10,0,0,11,15,3,6,0,5,7,9,FAIL
10,0,0,11,11,11,11,11,11,11,11,FAIL
10,0,0,12,10,15,12,11,12,1,11,FAIL
10,19,0,10,20,11,17,19,11,28,29,FAIL
1,0,0,1,17,2,0,26,22,46,36,FAIL
5,0,0,17,14,48,20,49,3,7,37,FAIL
6,0,19,9,19,12,26,10,28,56,36,FAIL
8,0,0,0,5,0,11,45,0,24,29,FAIL
3,0,13,48,11,47,3,0,18,54,48,FAIL
0,17,0,19,9,24,12,26,10,28,55,FAIL
9,19,0,18,20,38,16,50,19,49,27,FAIL
7,0,0,19,12,21,4,24,6,28,19,FAIL
17,19,9,24,12,26,10,28,10,19,28,FAIL
13,0,0,17,0,24,13,48,17,46,36,FAIL
19,19,9,24,19,9,24,12,26,10,28,FAIL
11,26,0,0,19,27,4,22,0,24,36,FAIL
0,0,19,9,11,12,26,10,28,0,29,FAIL
0,29,0,11,0,17,0,16,0,12,48,FAIL
12,19,9,24,12,26,10,28,0,16,59,FAIL
11,11,27,19,9,24,12,26,10,28,35,FAIL
12,11,10,19,9,24,11,26,10,28,23,FAIL
10,15,11,20,11,25,12,38,9,39,19,FAIL
25,43,27,41,25,47,21,35,23,51,34,PASS
23,40,23,32,24,40,24,28,25,26,59,PASS
27,42,28,48,29,46,26,25,28,50,75,PASS
27,38,28,42,23,40,26,41,29,54,80,PASS
21,13,24,24,19,44,21,26,17,33,75,FAIL
25,51,28,46,29,39,27,48,29,39,85,PASS
27,48,29,36,27,49,25,36,29,55,72,PASS
30,64,27,43,28,40,26,36,26,48,30,PASS
29,55,26,46,30,48,28,48,28,50,78,PASS
24,49,29,43,28,54,28,56,29,40,70,PASS
26,42,29,52,25,50,27,39,28,44,70,PASS
25,29,29,31,29,38,25,18,28,49,69,FAIL
27,43,30,42,29,47,23,35,28,34,75,PASS
23,30,23,39,26,31,28,18,27,43,85,FAIL
21,10,24,24,23,40,21,28,23,30,69,FAIL
29,49,27,45,26,31,28,18,28,44,76,FAIL
15,19,19,35,13,47,15,0,19,13,78,FAIL
11,3,18,5,10,14,11,30,16,13,85,FAIL
24,30,22,10,16,42,20,26,27,18,86,FAIL
25,18,20,30,19,25,20,17,20,42,76,FAIL
17,15,22,31,14,33,19,0,18,12,84,FAIL
21,40,18,35,21,39,23,17,23,40,81,FAIL
17,17,21,36,19,43,24,18,19,28,86,FAIL
20,13,19,10,14,49,14,31,14,26,82,FAIL
8,16,20,26,9,13,17,0,9,26,83,FAIL
23,46,25,37,23,44,26,10,24,26,84,FAIL
24,32,27,40,23,42,21,0,26,54,87,FAIL
19,48,21,27,20,29,17,24,22,16,92,FAIL
26,13,28,29,27,46,22,41,26,30,94,FAIL
20,46,23,37,21,39,18,7,23,42,96,FAIL
22,14,21,34,22,24,25,24,20,32,96,FAIL
24,14,26,27,26,38,22,18,24,37,36,FAIL
17,7,25,9,20,54,18,41,22,29,35,FAIL
21,8,24,24,24,43,23,31,22,26,63,FAIL
13,12,17,16,19,40,16,44,23,24,35,FAIL
24,29,29,45,24,35,20,14,23,33,78,FAIL
23,40,25,31,21,32,26,0,19,4,55,FAIL
12,3,18,7,19,7,16,15,18,25,80,FAIL
18,32,21,24,22,35,22,6,19,35,75,FAIL
16,16,22,28,24,25,22,18,20,34,85,FAIL
22,27,21,29,23,36,18,16,23,12,72,FAIL
18,8,24,15,23,17,19,24,25,6,30,FAIL
21,50,23,24,24,32,18,16,16,16,78,FAIL
22,41,24,9,24,44,19,32,26,32,70,FAIL
22,13,22,26,22,25,19,9,22,36,70,FAIL
24,11,22,27,24,36,22,3,26,28,69,FAIL
13,12,17,12,20,46,10,42,19,28,75,FAIL
28,0,28,43,24,37,23,24,28,38,85,FAIL
26,69,24,31,26,42,19,36,25,17,69,FAIL
19,0,20,10,24,42,19,28,22,29,76,FAIL
25,40,23,15,27,26,22,15,29,41,78,FAIL
22,34,24,15,19,45,22,32,28,26,85,FAIL
16,0,17,32,18,9,14,15,21,17,86,FAIL
18,12,23,31,17,11,15,25,15,36,76,FAIL
24,0,26,43,23,48,25,41,28,33,84,FAIL
19,3,24,28,13,38,18,28,18,27,81,FAIL
16,2,17,33,13,18,23,9,12,7,86,FAIL
27,29,27,44,27,39,25,44,25,40,85,PASS
23,24,21,46,20,36,20,37,22,45,72,PASS
25,46,23,51,26,47,25,44,26,38,30,PASS
24,30,25,42,24,40,23,48,23,39,78,PASS
26,35,24,37,27,34,26,45,28,47,70,PASS
23,44,24,30,27,38,25,35,27,34,70,PASS
25,40,25,30,20,31,22,44,22,35,69,PASS
28,29,25,52,24,43,26,38,29,40,75,PASS
29,52,26,54,26,43,27,47,27,53,85,PASS
21,43,26,55,23,46,26,45,27,42,69,PASS
23,34,27,37,23,32,23,52,23,40,76,PASS
25,29,24,49,25,31,25,33,24,42,78,PASS
26,41,28,48,27,36,26,35,25,54,85,PASS
18,37,23,40,21,30,22,33,19,33,86,PASS
23,53,24,43,25,36,22,57,23,35,76,PASS
25,29,25,50,28,56,26,44,24,45,84,PASS
27,31,22,52,25,44,25,42,21,46,81,PASS
24,55,22,60,27,47,23,50,19,43,86,PASS
